,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
0,a,eɪ,7736,0.6041861918150578,0.47261658239279564,0.5550169550554142
1,a,ə,25074,0.2849836333878887,0.2507459816029496,0.27994505884451654
2,a,ɑ,13221,0.5691102406267488,0.4505087329950527,0.551044580127769
3,a,æ,20170,0.9895015698587127,0.6878841399565193,0.9849835298495425
4,a,i,42,0.0013118031046006808,0.0013109434426307417,0.0014348371779049891
5,a,ɔ,1585,0.13063545701804993,0.12277982600739364,0.14860185826501424
6,a,ɛ,1512,0.05870476782109023,0.05704624382460167,0.07586995564717677
7,a,ɪ,155,0.0032588356495595315,0.003253537152830106,0.004105042176879789
8,s,z,21007,0.8051435360852401,0.5906401100000515,0.7615404603613589
9,s,s,36302,0.7696972266983292,0.5708084735910616,0.7182040518804249
10,s,ʒ,103,0.206,0.18730909830499368,0.207851207502086
11,s,ʃ,241,0.028366290018832393,0.027971416816374536,0.03140536272597288
12,aa,ɑ,203,0.008738323791485515,0.008700365607136128,0.01064194534270007
13,aa,ɛ,7,0.0002717813325050474,0.00027174440664905496,0.00036141268377324454
14,aa,æ,4,0.00019623233908948196,0.00019621308804234467,0.00028095815681234337
15,aa,eɪ,2,0.00015620118712902218,0.00015618898899379677,0.00018342043067053017
16,b,b,18598,0.9632775677215518,0.6746153050545876,0.9487536244189517
17,e,ə,30595,0.3477336788507001,0.29842442535288755,0.3331756017862837
18,e,ɛ,22510,0.8739711135269452,0.6280597693574844,0.8353024432500599
19,e,i,6360,0.19864447012524597,0.18119131007674438,0.19831521296579174
20,e,ɪ,8822,0.18548031032525283,0.170148017634028,0.21467859621415664
21,e,eɪ,1176,0.09184629803186505,0.08787011469804759,0.10319020812424161
22,e,æ,6,0.0002943485086342229,0.0002943051966109338,0.0004214165650471672
23,r,r,68128,0.9472484079975529,0.6664173032530998,0.9273758162057576
24,g,ɡ,11890,0.9273124317579161,0.6561265100512151,0.9015087436485523
25,g,ʒ,73,0.146,0.13627761829254775,0.15122312676713823
26,ch,k,1786,0.04725367763784528,0.04617119254840944,0.05317684303685879
27,ch,h,48,0.00557815223707147,0.005562651961099036,0.007911846775960603
28,ch,ʃ,365,0.042961393596986815,0.04206416056558233,0.047228219757260825
29,n,n,51912,0.8938478227181156,0.6386106445021608,0.8588300881933265
30,n,ŋ,2209,0.23363299841353782,0.2099634731558816,0.2691568330166459
31,k,k,10624,0.2810879458143719,0.24770967458953305,0.2852951755696582
32,l,l,37010,0.8282977485340853,0.603385341898348,0.787761231837589
33,l,r,4,5.561580601206863e-05,5.561425951049976e-05,7.739192703200362e-05
34,l,j,29,0.01287172658677319,0.01278958998977659,0.014993698719377484
35,i,i,10409,0.32510853609020207,0.28149437011375583,0.308097645158237
36,i,ɪ,35794,0.7525597628408637,0.5610774408235474,0.707920780026423
37,i,j,714,0.3169107856191744,0.27528867985857736,0.32273087174444837
38,i,ə,5298,0.060215493726132024,0.05847218343019989,0.06528120102460745
39,i,aɪ,7226,0.6331931300385559,0.49053707401221014,0.5847864133656778
40,i,ɑ,40,0.0017218372002927123,0.0017203565380165154,0.0021042725184459046
41,i,æ,31,0.001520800627943485,0.0015196453817862233,0.0021759851482634316
42,yah,ɑ,1,4.3045930007317805e-05,4.3045003557909615e-05,5.2650956962530424e-05
43,th,θ,2799,0.9827949438202247,0.6845074371409704,0.9755855783889195
44,th,ð,589,0.9188767550702028,0.6517399914457932,0.8931119505283046
45,th,t,122,0.0025715610640360863,0.002568260258487313,0.0033646694887581297
46,m,m,24427,0.918446382914724,0.6515156829151807,0.8898370924967831
47,o,ə,14294,0.1624613566102928,0.1505396163013047,0.16806977912264956
48,o,ɔ,8246,0.6796340558806561,0.5185759458075386,0.6276385274719075
49,o,oʊ,15792,0.8544067521506249,0.6175648347478347,0.8115501579787625
50,o,ɑ,9308,0.40067151650811417,0.3369517762723461,0.41214617271656745
51,o,u,248,0.03493941955480417,0.03434289317317074,0.03953889247311174
52,o,aʊ,89,0.02652757078986587,0.026181816141839166,0.030176474098279678
53,o,w,101,0.011899151743638077,0.011828913472405583,0.014628483889759219
54,o,ɪ,118,0.002480920042890482,0.0024778476413002295,0.0031263417620947306
55,o,ʊ,69,0.036760788492274904,0.03610122615944158,0.04287650049539665
56,o,æ,9,0.0004415227629513344,0.00044142532045718093,0.0006320783472873248
57,dt,t,186,0.0039205767041861645,0.003912911272083589,0.005126292448706849
58,c,k,18722,0.49534342258440045,0.4023558945656829,0.4634061861807227
59,c,ʃ,152,0.017890772128060263,0.01773261583732421,0.0199095825609194
60,c,s,3859,0.08182088033245696,0.07864562174096228,0.09895368903980271
61,d,d,27996,0.8655166017436469,0.6235380129928118,0.8269189348512724
62,d,t,31,0.000653429450697694,0.0006532160586268808,0.0008557762535029177
63,v,v,9035,0.8549394398183194,0.617852048528263,0.8187174340958437
64,v,f,44,0.003330053734957996,0.0033245213846328746,0.004195761632378191
65,gh,ɡ,224,0.017469973483075964,0.017319127808838607,0.023796241902824606
66,gh,f,62,0.004692348444713539,0.004681373695922613,0.005908197261406889
67,gh,p,2,0.00010645659232447969,0.00010645092622365624,0.00014556990230952293
68,t,t,40229,0.8479617216812108,0.6140832596289992,0.8045084996361702
69,t,s,41,0.0008693070986345517,0.0008689294700529538,0.0010933065906751707
70,t,d,27,0.0008347245409015025,0.0008343763521195829,0.0011065269317714712
71,se,s,610,0.012933593418709186,0.012850668743341065,0.016169000265144638
72,se,z,412,0.015790885746042697,0.01566750685611773,0.02020086374411925
73,ck,k,3206,0.08482379087734152,0.08141756908200387,0.09377122514167062
74,u,ə,10866,0.12349972722313148,0.11644856985116706,0.13000887005625014
75,u,u,3891,0.5481825866441251,0.4370817182404822,0.5032111584871984
76,u,w,1467,0.17283223374175305,0.1594215362044777,0.19715212047904193
77,u,ʊ,778,0.4144912093766649,0.3467698970895304,0.41184971387625247
78,u,ɔ,36,0.002967114481167065,0.002962721284927123,0.003585816194551122
79,u,ɛ,77,0.0029895946575555212,0.0029851347062007936,0.003970148121525049
80,u,ɪ,106,0.0022286230893761956,0.0022261433924620814,0.002808762306553041
81,u,f,4,0.0003027321577234542,0.00030268634358974334,0.0003820097993500899
82,ie,i,2585,0.08073835774744667,0.07764447212492764,0.08498244214112465
83,ie,ə,83,0.0009433533369703583,0.0009429086588481652,0.0010527092729415398
84,ie,aɪ,164,0.014370837714686295,0.014268555977929158,0.01701004494113507
85,ie,ɪ,220,0.004625444147761916,0.004614779653683186,0.005822544580103463
86,ie,ɛ,43,0.0016695138996738624,0.0016681218105359834,0.002218556723359112
87,ie,eɪ,3,0.00023430178069353328,0.00023427433631815543,0.00027511990403008066
88,ai,ɛ,388,0.01506445100170834,0.01495210900165536,0.019885899065945484
89,ai,eɪ,1584,0.12371134020618557,0.11663690372576088,0.13697246682546807
90,ai,aɪ,229,0.020066596565019277,0.019867915914850386,0.023685237883991267
91,ai,ə,76,0.0008637934169849063,0.0008634205621488106,0.0009639648800476373
92,ai,ɪ,19,0.00039947017639762,0.0003993904094290257,0.0005039175514935484
93,ai,æ,6,0.0002943485086342229,0.0002943051966109338,0.0004214165650471672
94,ed,d,2739,0.08467816731589686,0.08128332300666544,0.10779570368008753
95,ed,t,855,0.018022005817629947,0.017861534611421943,0.02340033893794163
96,ng,ŋ,7220,0.7636171337916446,0.5673668896912666,0.7273201995207526
97,ng,n,442,0.00761058594624378,0.007581771541014135,0.010196280906509054
98,sh,ʃ,3506,0.4126647834274953,0.3454778380677381,0.3878908562097113
99,sh,s,9,0.00019082350945636502,0.0001908053049662961,0.00024007552355512183
100,sh,z,1,3.832739258748227e-05,3.832665811172289e-05,4.941638803113341e-05
101,te,t,2407,0.05073563509126934,0.049490523709252596,0.06483737563468808
102,bb,b,424,0.021960946806857617,0.02172327853364394,0.030550802937074496
103,ll,l,6238,0.13960879101204066,0.13068503773264234,0.17061834147829166
104,ll,j,4,0.001775410563692854,0.0017738363852913064,0.002079532522918042
105,h,h,8432,0.9798954096455549,0.6830440198999024,0.9715041790276762
106,h,j,70,0.031069684864624945,0.030596792338164782,0.03586972580548016
107,h,θ,6,0.002106741573033708,0.002104525504915443,0.0029994483924421288
108,au,aʊ,614,0.18301043219076005,0.16806240337728312,0.19370431504576904
109,au,ɔ,1067,0.08794197642792384,0.08428781652258925,0.10201452935438331
110,au,ɑ,183,0.007877405191339159,0.007846540418652868,0.009597579921940429
111,au,oʊ,103,0.005572688416382622,0.005557218434604309,0.00730281461114465
112,au,ə,50,0.0005682851427532278,0.0005681237299010292,0.0006342810759374458
113,au,æ,24,0.0011773940345368916,0.0011767014497575208,0.0016849226203041962
114,tt,t,2449,0.05162092660511783,0.05033271345223413,0.06594072570312082
115,bbe,b,19,0.0009840990314393743,0.0009836151234371027,0.0013833193620158585
116,lle,l,410,0.009175954523074169,0.00913411122572128,0.011925212979615216
117,ey,i,1811,0.056563700534091266,0.05502185018357285,0.06022181710759445
118,ey,eɪ,248,0.01936894720399875,0.019183756623457657,0.02252843125767968
119,ey,aɪ,85,0.007448300035050824,0.007420698420349695,0.008846474290741646
120,ey,ɪ,12,0.0002522969535142863,0.0002522651319901907,0.00031828713118431536
121,ow,aʊ,800,0.23845007451564829,0.21386065788376646,0.24649018113596738
122,ow,oʊ,992,0.05367094086457826,0.05228020105626871,0.06870210711349947
123,ts,s,300,0.006360783648545501,0.006340639241915244,0.007977934816570432
124,ts,z,57,0.0021846613774864896,0.002182278474745337,0.002813715706327671
125,st,t,61,0.0012857805320180432,0.0012849546241115858,0.0016834149124487113
126,st,s,164,0.003477228394538207,0.0034711968139623044,0.004367537855522801
127,ou,aʊ,1651,0.49210134128166916,0.4001854225859373,0.46124321451771305
128,ou,u,527,0.07424626655395886,0.07161926826917067,0.08245509581324069
129,ou,ə,679,0.007717312238588834,0.007687686109597012,0.008582908194864536
130,ou,ɔ,248,0.020440121981373113,0.020234026368818398,0.024489478576135513
131,ou,ʊ,132,0.07032498668087374,0.06796232822842559,0.08071711434633093
132,ou,oʊ,73,0.003949575285397392,0.00394179618895381,0.005179966766034786
133,ou,w,2,0.000235626767200754,0.0002355990115739744,0.00029135865718292323
134,ti,ʃ,2414,0.2841337099811676,0.2500843353453964,0.28078625102065874
135,ti,ʒ,2,0.004,0.003992021269537457,0.004429824545395559
136,y,i,6348,0.1982696692382172,0.18087857389322545,0.19797292092755658
137,y,ɪ,1616,0.03397598973992389,0.033411555062205854,0.04215591717039123
138,y,ə,165,0.0018753409710856519,0.0018735847145837914,0.0020917614703986802
139,y,aɪ,1476,0.12933753943217666,0.12163121252341977,0.1450008252039247
140,y,j,1144,0.5077674212161563,0.4106300277283395,0.48139642676660144
141,ah,ə,148,0.0016821240225495544,0.0016807108364834432,0.0018764276540431685
142,ah,ɑ,242,0.010417115061770909,0.010363230807922407,0.012675896716482688
143,ah,æ,32,0.0015698587127158557,0.001568627772626434,0.0022461231924888886
144,ee,i,1836,0.05734453571540119,0.05576060998726994,0.061030395111355794
145,ee,ɪ,167,0.003511132603073818,0.0035049829675821947,0.004422295561817891
146,ee,eɪ,12,0.0009372071227741331,0.0009367682183868799,0.0011000931061908013
147,z,z,3794,0.14541412747690774,0.13576625500047976,0.1750499070146015
148,z,s,757,0.01605037740649648,0.015922931988553407,0.02003459093739453
149,z,j,1,0.0004438526409232135,0.00044375416747713154,0.0005202290533112324
150,z,ʒ,16,0.032,0.031498667059371016,0.034953112487552354
151,be,b,174,0.009012275340550059,0.008971907145387464,0.012617753197057803
152,le,l,815,0.018240007161720605,0.018075653760661087,0.02359901423519667
153,f,f,10142,0.7675773859078181,0.5696099005219916,0.7188846421864274
154,f,v,5,0.00047312641937925814,0.0004730145303653722,0.0006267928438746174
155,rr,r,2070,0.028781179611245516,0.02837478079894124,0.03948589776199691
156,x,k,614,0.016245105302148375,0.016114565437433972,0.018559661762583956
157,x,z,50,0.0019163696293741136,0.0019145357356675206,0.0024685022246768674
158,x,h,1,0.00011621150493898897,0.00011620475290506539,0.0001652798352391602
159,x,ʃ,5,0.0005885122410546139,0.0005883391356388893,0.0006605673242053364
160,ce,s,1080,0.022898821134763804,0.022640578006569607,0.02848688415386508
161,ce,ʃ,1,0.00011770244821092278,0.0001176955218211939,0.00013214455950809917
162,de,d,961,0.02971001051134607,0.029277219407951294,0.03882664181455314
163,idj,ɪ,2,4.204949225238105e-05,4.2048608197277244e-05,5.3053431395049384e-05
164,ne,n,1989,0.03424763675809701,0.03367424137547962,0.045286516814783025
165,ae,eɪ,85,0.006638550452983442,0.006616612315025776,0.007770214073478393
166,ae,ɛ,131,0.005086193508308743,0.005073302518342969,0.0067473546239935804
167,ae,ə,24,0.00027277686852154935,0.00027273967167570136,0.00030449988848630944
168,ae,i,46,0.0014367367336102696,0.001435705614902074,0.001571390287177086
169,ae,aɪ,16,0.0014020329477742728,0.0014010510172729924,0.0016702419505870288
170,qu,k,31,0.000820192612974918,0.0008198564388195708,0.0009442549510532023
171,bj,b,47,0.0024343502356658207,0.0024313920050711407,0.003419418385427602
172,kh,k,128,0.0033866017567996615,0.0033808801353331606,0.003893868067075491
173,ze,z,342,0.013107968264918937,0.013022802276964533,0.016790920009129857
174,oo,u,1237,0.17427444350521273,0.16065046197845267,0.18495650060385746
175,oo,ʊ,897,0.4778902503995738,0.39061556428826816,0.46392408838821103
176,oo,ɔ,41,0.003379213714662491,0.003373517001996671,0.004083007051623747
177,oo,ə,55,0.0006251136570285507,0.0006249183548729094,0.000697689368776936
178,oo,oʊ,6,0.00032462262619704593,0.00032456994767243475,0.0004265216824016171
179,oa,ɔ,173,0.01425863347894173,0.014157935248562499,0.017135514485950156
180,oa,oʊ,460,0.024887734675106854,0.0245830794455984,0.03230495145635363
181,oa,ə,3,3.409710856519367e-05,3.4096527272085904e-05,3.8067028123674105e-05
182,ve,v,1413,0.13370552611657835,0.12549149443773774,0.1662891214355465
183,p,p,17249,0.9181348805024752,0.6513532975040316,0.8907149918774172
184,w,w,6045,0.7121819038642789,0.5377685243323513,0.6650431768705443
185,w,v,94,0.008894776684330053,0.008855451180545175,0.011734382503977903
186,w,u,13,0.0018315018315018315,0.0018298266770761572,0.0021066751675384784
187,ss,z,159,0.006094055421409682,0.006075561761894973,0.007833511511954315
188,ss,s,3513,0.07448477652446782,0.07184126903772359,0.09039229952302649
189,ss,ʃ,69,0.008121468926553672,0.008088667276500172,0.009081682613927756
190,si,ʒ,194,0.388,0.3278638620846127,0.3638205524839011
191,si,ʃ,49,0.005767419962335217,0.005750852067971184,0.006456862602409119
192,ea,ɛ,701,0.027216959155148313,0.026853163898216365,0.03571397899935737
193,ea,i,1772,0.055345597651247774,0.05386829399726617,0.058959241431870715
194,ea,ə,268,0.0030460083651573013,0.0030413786806663063,0.0033955436824339193
195,ea,ɪ,276,0.005802829930828585,0.005786058363648823,0.007300366494971685
196,ea,eɪ,95,0.007419556388628554,0.007392166875382447,0.008680986032407993
197,ea,æ,10,0.0004905808477237048,0.0004904605522812071,0.0007022920546887962
198,eu,u,190,0.026768103691180614,0.026416105733352513,0.030412800659594064
199,eu,ə,93,0.0010570103655210038,0.0010564521234083977,0.0011794747415824565
200,eu,aɪ,1,8.762705923589205e-05,8.76232202093291e-05,0.00010445870738098194
201,zz,z,202,0.007742133302671419,0.0077123167853855165,0.009943857817571195
202,sc,s,314,0.006657620218810958,0.00663555614068433,0.008349005887627643
203,sc,ʃ,184,0.021657250470809793,0.021426064172675677,0.02405646169267115
204,re,r,1254,0.017435555184783517,0.01728529990104563,0.024053950919106677
205,the,θ,33,0.011587078651685394,0.011520462552662106,0.016419393731776356
206,the,ð,52,0.0811232449297972,0.07800054226923317,0.10688804947169545
207,ci,ʃ,259,0.030484934086629,0.030029501238232045,0.0337161104515322
208,me,m,603,0.022672582343209506,0.022419379380022354,0.030620284186925115
209,cc,k,277,0.007328817864324267,0.007302092575757516,0.00841005417684508
210,cc,s,4,8.481044864727334e-05,8.480685244450579e-05,0.00010670588800071933
211,nt,n,755,0.01299998278147976,0.012916208268994096,0.017370252723286763
212,ssi,ʃ,179,0.02106873822975518,0.02084986133333988,0.023409520592337512
213,ssi,ʒ,2,0.004,0.003992021269537457,0.004429824545395559
214,mm,m,922,0.0346668671980749,0.034079507465416325,0.04654563294786635
215,gl,l,179,0.0040060874625128685,0.0039980844608305385,0.005219775359384166
216,ue,u,251,0.03536207382361228,0.0347511953224294,0.04000896978123703
217,ue,ɛ,105,0.004076719987575711,0.004068432680365973,0.0054109050187766015
218,ue,ə,71,0.0008069649027095836,0.0008066394815896727,0.0009005717088519633
219,ue,i,5,0.00015616703626198582,0.0001561548434597635,0.00017091261729520189
220,ue,eɪ,21,0.0016401124648547328,0.0016387689492165004,0.0019244871765366296
221,ue,ɪ,9,0.00018922271513571474,0.0001892048147757677,0.0002387228755164648
222,ph,f,1176,0.08900325437069553,0.08526283234920072,0.10760722499553896
223,ph,p,14,0.0007451961462713578,0.0007449186254862888,0.0010186640491295733
224,ph,v,7,0.0006623769871309614,0.0006621577123175185,0.0008774269899836285
225,nn,n,1771,0.03049399934569623,0.030038298280181785,0.04039674969911762
